"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "Rank"
"ETEC2.fwd" 83 2.88851771184935 0.901301333333333 10.1318491300119 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "3" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 201000 "Repeated" 6
"ETEC31.fwd" 30 2.36359648247203 0.856879111111111 6.98710026023067 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "9" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 142448 "Repeated" 3
"ETEC32.fwd" 51 2.51406640214718 0.855734222222222 6.93165084196452 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 30 "E.Coli_Azithromycin" "9" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.30.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 92522 "Repeated" 4
"ETEC33.fwd" 79 2.89762349421047 0.891834666666667 9.24510625708792 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 90 "E.Coli_Azithromycin" "9" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.90.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 167959 "Repeated" 5
"ETEC34.fwd" 80 2.85838288503849 0.886549333333333 8.81440391124483 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "9" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 127748 "Repeated" 6
"ETEC35.fwd" 58 1.27766223614445 0.402248 1.67293459494908 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 223947 "Repeated" 1
"ETEC36.fwd" 21 0.332840360045747 0.0972942222222223 1.10778065746043 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 214681 "Repeated" 2
"ETEC37.fwd" 90 3.2284474768391 0.923843555555556 13.1308651197535 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 181928 "Repeated" 3
"ETEC38.fwd" 67 2.41035336562045 0.822476444444444 5.63305526903472 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 30 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.30.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 152752 "Repeated" 4
"ETEC39.fwd" 81 2.89335442483478 0.890666666666667 9.14634146341463 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 90 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.90.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 83013 "Repeated" 5
"ETEC3.fwd" 94 3.36600778574803 0.935155555555556 15.4215215901302 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "3" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 79289 "Repeated" 6
"ETEC40.fwd" 74 2.13722331117209 0.739568 3.83977391411194 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "10" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 144924 "Repeated" 6
"ETEC41.fwd" 70 3.00094172700052 0.913887111111111 11.6126634804959 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "11" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 61046 "Repeated" 2
