"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"2610" "ETEC34.fwd" "ETEC10.fwd" 0.819204547017383 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"3210" "ETEC3.fwd" "ETEC10.fwd" 0.527807977112444 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"3310" "ETEC40.fwd" "ETEC10.fwd" 0.555032222708493 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"4310" "ETEC4.fwd" "ETEC10.fwd" 0.539777652056972 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"631" "ETEC1.fwd" "ETEC11.fwd" 0.451305025308201 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"6410" "ETEC20.fwd" "ETEC11.fwd" 0.738975678615207 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"6910" "ETEC25.fwd" "ETEC11.fwd" 0.702657510922751 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"741" "ETEC2.fwd" "ETEC11.fwd" 0.533502674314096 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"781" "ETEC34.fwd" "ETEC11.fwd" 0.730367676266489 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"84" "ETEC3.fwd" "ETEC11.fwd" 0.540753022553762 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"85" "ETEC40.fwd" "ETEC11.fwd" 0.585072171056108 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"951" "ETEC4.fwd" "ETEC11.fwd" 0.56348244724394 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"110" "ETEC15.fwd" "ETEC12.fwd" 0.890220033780336 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"11710" "ETEC21.fwd" "ETEC12.fwd" 0.945524502966334 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"12210" "ETEC26.fwd" "ETEC12.fwd" 0.899853539275735 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1251" "ETEC29.fwd" "ETEC12.fwd" 0.885982337747262 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1311" "ETEC35.fwd" "ETEC12.fwd" 0.757360416425639 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1561" "ETEC5.fwd" "ETEC12.fwd" 0.933501530881575 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "4" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"163" "ETEC16.fwd" "ETEC13.fwd" 0.863982340579488 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"17010" "ETEC22.fwd" "ETEC13.fwd" 0.883196828847267 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"17510" "ETEC27.fwd" "ETEC13.fwd" 0.797268132857134 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
